"[4, 3, 6, 5]","[[27, 29, 25, 18], [33, 21, 24, 17], [27, 29, 24, 13], [33, 21, 23, 19]]"
"[4, 5, 6, 1]","[[36, 27, 32, 25], [37, 28, 33, 26], [38, 36, 27, 20], [40, 38, 36, 29]]"
"[4, 5, 6, 1]","[[36, 27, 32, 18], [28, 33, 30, 19], [36, 27, 31, 13], [36, 33, 31, 22]]"
"[4, 5, 6, 1]","[[29, 20, 25, 18], [30, 21, 26, 19], [29, 20, 24, 13], [29, 26, 24, 15]]"
"[4, 5, 6, 1]","[[29, 20, 25, 18], [21, 26, 23, 19], [31, 29, 20, 13], [29, 26, 24, 15]]"
"[4, 6, 5, 3]","[[29, 20, 25, 18], [31, 29, 20, 13], [30, 21, 26, 19], [21, 26, 24, 17]]"
"[4, 6, 5, 3]","[[32, 29, 20, 18], [31, 29, 20, 6], [33, 30, 21, 19], [33, 31, 21, 17]]"
"[4, 6, 5, 3]","[[20, 25, 22, 13, 11], [29, 24, 22, 13, None], [21, 26, 23, 14, 12], [26, 24, 14, 19, 10]]"
"[6, 1, 2, 4]","[[31, 29, 20, 13], [33, 31, 29, 22], [27, 32, 30, 23], [36, 27, 32, 25]]"
"[6, 1, 2, 4]","[[24, 22, 13, 6], [24, 22, 19, 15], [25, 23, 13, 16], [25, 22, 13, 18]]"
"[6, 1, 2, 4]","[[27, 31, 29, 13], [33, 31, 29, 22], [27, 32, 30, 23], [27, 32, 29, 25]]"
"[6, 1, 3, 4]","[[24, 22, 13, 6], [26, 24, 22, 15], [21, 26, 24, 17], [29, 20, 25, 18]]"
"[6, 1, 3, 4]","[[31, 29, 20, 13], [29, 26, 24, 15], [21, 26, 24, 17], [20, 25, 22, 18]]"
"[6, 1, 3, 4]","[[29, 20, 24, 6], [31, 29, 26, 15], [33, 21, 24, 17], [32, 29, 20, 18]]"
"[6, 1, 4, 5]","[[24, 22, 13, 6], [26, 24, 22, 15], [22, 13, 18, 11], [23, 14, 19, 12]]"
"[6, 1, 4, 5]","[[20, 24, 22, 6], [26, 24, 22, 15], [20, 25, 22, 11], [21, 26, 23, 12]]"
"[6, 1, 4, 5]","[[36, 31, 20, 13], [36, 31, 26, 22], [36, 32, 20, 18], [28, 33, 30, 19]]"
"[6, 1, 5, 2]","[[31, 29, 20, 13], [33, 31, 29, 22], [30, 21, 26, 19], [20, 25, 23, 16]]"
"[6, 1, 5, 2]","[[29, 24, 13, 6], [31, 26, 22, 15], [21, 23, 19, 12], [20, 25, 23, 16]]"
"[6, 1, 5, 2]","[[20, 24, 22, 13, 6], [26, 24, 22, 19, 15], [26, 23, 14, 19, 12], [20, 25, 23, 13, 16]]"
"[6, 1, 5, 2]","[[29, 20, 24, 22, 6], [29, 26, 24, 22, 15], [21, 26, 23, 14, 12], [20, 25, 23, 13, 9]]"
"[6, 1, 5, 4]","[[31, 29, 20, 13], [33, 31, 29, 22], [30, 21, 26, 19], [29, 20, 25, 18]]"
"[6, 1, 5, 4]","[[24, 22, 13, 6], [24, 22, 19, 15], [26, 23, 14, 12], [20, 25, 22, 11]]"
"[6, 1, 5, 4]","[[29, 24, 13, 6], [31, 22, 19, 15], [21, 23, 19, 12], [29, 25, 13, 11]]"
"[6, 1, 5, 4]","[[24, 22, 13, 6], [26, 24, 22, 15], [21, 26, 23, 12], [29, 20, 25, 18]]"
"[6, 1, 6, 5]","[[24, 22, 13, 6], [26, 24, 22, 15], [24, 22, 13, 6], [23, 14, 19, 12]]"
"[6, 1, 6, 5]","[[20, 24, 22, 6], [26, 24, 22, 15], [24, 22, 13, 6], [26, 23, 14, 12]]"
"[6, 1, 6, 5]","[[29, 24, 13, 6], [29, 24, 15, 26], [20, 24, 22, 6], [30, 26, 14, 12]]"
"[6, 2, 4, 5]","[[24, 22, 13, 6], [20, 25, 23, 16], [29, 20, 25, 18], [30, 21, 26, 19]]"
"[6, 2, 4, 5]","[[31, 29, 20, 13], [32, 30, 20, 23], [32, 29, 20, 18], [33, 30, 21, 19]]"
"[6, 2, 4, 5]","[[31, 29, 20, 13], [32, 30, 20, 16], [29, 20, 25, 18], [21, 26, 23, 12]]"
"[6, 2, 4, 5]","[[36, 31, 20, 13], [27, 30, 25, 16], [27, 29, 25, 18], [28, 30, 26, 19]]"
"[6, 2, 5, 1]","[[31, 29, 20, 13], [20, 25, 23, 16], [30, 21, 26, 19], [26, 24, 22, 15]]"
"[6, 2, 5, 1]","[[27, 31, 29, 13], [32, 30, 23, 20], [33, 30, 21, 19], [31, 29, 26, 22]]"
"[6, 2, 5, 1]","[[29, 20, 24, 13], [20, 25, 23, 16], [21, 26, 23, 19], [26, 24, 22, 15]]"
"[6, 2, 5, 1]","[[29, 20, 24, 13], [30, 20, 25, 16], [30, 21, 26, 19], [31, 29, 26, 22]]"
"[6, 2, 5, 1]","[[29, 24, 13, 10], [25, 13, 16, 9], [21, 23, 19, 12], [24, 19, 15, 8]]"
"[6, 3, 4, 1]","[[31, 29, 20, 13], [21, 26, 24, 17], [29, 20, 25, 18], [33, 31, 29, 22]]"
"[6, 3, 4, 1]","[[36, 27, 31, 20], [28, 33, 31, 24], [36, 27, 32, 25], [36, 33, 31, 29]]"
"[6, 3, 4, 1]","[[31, 29, 20, 24, 13], [33, 21, 26, 24, 17], [32, 29, 20, 25, 18], [31, 29, 26, 24, 22]]"
"[6, 3, 4, 1]","[[31, 20, 24, 13], [31, 21, 26, 17], [32, 29, 20, 25, 18], [31, 29, 26, 22]]"
"[6, 4, 1, 5]","[[24, 22, 13, 6], [22, 13, 18, 11], [26, 24, 22, 15], [23, 14, 19, 12]]"
"[6, 4, 1, 5]","[[31, 29, 20, 13], [32, 29, 20, 25, 18], [31, 29, 26, 22], [30, 21, 26, 19]]"
"[6, 4, 1, 5]","[[27, 31, 29, 13], [27, 32, 29, 25, 18], [33, 31, 26, 22], [33, 30, 21, 19]]"
"[6, 4, 5, 1]","[[31, 29, 20, 13], [29, 20, 25, 18], [30, 21, 26, 19], [33, 31, 29, 22]]"
"[6, 4, 5, 1]","[[29, 20, 24, 13], [29, 20, 25, 18], [30, 21, 26, 19], [29, 26, 24, 15]]"
"[6, 4, 5, 1]","[[20, 24, 22, 13, 6], [29, 25, 13, 11], [21, 23, 14, 19, 12], [29, 24, 19, 15]]"
"[6, 4, 5, 3]","[[31, 29, 20, 13], [29, 20, 25, 18], [30, 21, 26, 19], [21, 26, 24, 17]]"
"[6, 4, 5, 3]","[[27, 29, 24, 13], [32, 20, 22, 18], [33, 21, 23, 19], [31, 21, 26, 17]]"
"[6, 4, 5, 3]","[[29, 20, 24, 13], [29, 20, 22, 18], [21, 26, 23, 19], [21, 26, 24, 17]]"
"[6, 5, 2, 1]","[[24, 22, 13, 6], [23, 14, 19, 12], [13, 18, 16, 9], [19, 17, 15, 8]]"
"[6, 5, 2, 1]","[[22, 13, 17, 6], [23, 14, 19, 12], [23, 13, 18, 9], [22, 19, 17, 8]]"
"[6, 5, 2, 1]","[[31, 29, 20, 24, 13], [33, 30, 21, 26, 19], [32, 30, 20, 25, 16], [31, 29, 26, 24, 15]]"
"[6, 5, 2, 4]","[[31, 29, 20, 13], [30, 21, 26, 19], [20, 25, 23, 16], [29, 20, 25, 18]]"
"[6, 5, 2, 4]","[[31, 29, 20, 24, 13], [33, 30, 21, 26, 19], [32, 30, 20, 25, 16], [32, 29, 20, 18]]"
"[6, 5, 2, 4]","[[31, 29, 20, 13], [33, 30, 21, 19], [27, 32, 30, 23], [27, 32, 29, 25]]"
"[6, 5, 2, 4]","[[38, 27, 29, 13], [37, 33, 21, 19], [37, 32, 20, 16], [36, 32, 20, 18]]"
"[6, 5, 4, 3]","[[31, 29, 20, 13], [30, 21, 26, 19], [29, 20, 25, 18], [21, 26, 24, 17]]"
"[6, 5, 4, 3]","[[29, 24, 13, 6], [30, 26, 14, 12], [29, 25, 13, 11], [31, 26, 14, 17]]"
"[6, 5, 4, 3]","[[27, 31, 29, 20, 13], [28, 30, 21, 26, 19], [32, 29, 20, 25, 18], [33, 31, 21, 26, 17]]"
